neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,neuron_type
176,231,214,214,0.9264069264069265,0.07359307359307354,0.1,most robust
176,231,231,227,0.9826839826839827,0.017316017316017285,0.2,most robust
176,231,231,231,1.0,0.0,0.3,most robust
176,231,231,231,1.0,0.0,0.5,most robust
176,231,231,231,1.0,0.0,0.7,most robust
176,231,231,231,1.0,0.0,1.0,most robust
162,310,10,9,0.02903225806451613,0.9709677419354839,0.1,most sensitive
162,310,49,49,0.15806451612903225,0.8419354838709677,0.2,most sensitive
162,310,215,215,0.6935483870967742,0.30645161290322576,0.3,most sensitive
162,310,299,299,0.964516129032258,0.03548387096774197,0.5,most sensitive
162,310,308,306,0.9870967741935484,0.012903225806451646,0.7,most sensitive
162,310,310,310,1.0,0.0,1.0,most sensitive
