run_label,source_keep_ratio,baseline_source,ks_nearest_chans,ks_n_pcs,template_nonzero_channel_median,template_nonzero_channel_max,templates_shape,templates_mtime
8ca740c5_probe00_partial_20260712_222836,0.1,False,25,3,25.0,28,115x61x383,2026-07-18T21:26:25.889564
8ca740c5_probe00_partial_20260712_222836,0.2,False,25,3,25.0,28,129x61x383,2026-07-19T00:38:45.143730
8ca740c5_probe00_partial_20260712_222836,0.3,False,25,3,25.0,28,139x61x383,2026-07-19T03:35:54.639811
8ca740c5_probe00_partial_20260712_222836,0.5,False,25,3,25.0,28,166x61x383,2026-07-19T04:55:34.858716
8ca740c5_probe00_partial_20260712_222836,0.7,False,25,3,25.0,29,215x61x383,2026-07-19T06:07:15.539176
8ca740c5_probe00_partial_20260712_222836,1.0,True,25,3,25.0,30,239x61x383,2026-07-19T09:47:51.081901
cde63527_probe01_partial_20260712_222836,0.1,False,25,3,25.0,28,119x61x383,2026-07-18T01:38:05.316487
cde63527_probe01_partial_20260712_222836,0.2,False,25,3,25.0,28,140x61x383,2026-07-18T02:46:51.963655
cde63527_probe01_partial_20260712_222836,0.3,False,25,3,25.0,32,151x61x383,2026-07-18T03:55:12.508209
cde63527_probe01_partial_20260712_222836,0.5,False,25,3,25.0,28,177x61x383,2026-07-18T05:00:59.969021
cde63527_probe01_partial_20260712_222836,0.7,False,25,3,25.0,28,192x61x383,2026-07-18T06:08:58.848157
cde63527_probe01_partial_20260712_222836,1.0,True,25,3,25.0,28,222x61x383,2026-07-18T07:15:36.784302
dd4da095_probe00_partial_20260712_222836,0.1,False,25,3,25.0,28,216x61x383,2026-07-18T09:34:59.169369
dd4da095_probe00_partial_20260712_222836,0.2,False,25,3,25.0,36,282x61x383,2026-07-18T10:51:17.415221
dd4da095_probe00_partial_20260712_222836,0.3,False,25,3,25.0,36,342x61x383,2026-07-18T12:05:33.116495
dd4da095_probe00_partial_20260712_222836,0.5,False,25,3,25.0,30,382x61x383,2026-07-18T13:19:45.654850
dd4da095_probe00_partial_20260712_222836,0.7,False,25,3,25.0,29,381x61x383,2026-07-18T14:25:39.236660
dd4da095_probe00_partial_20260712_222836,1.0,True,25,3,25.0,29,409x61x383,2026-07-18T15:56:50.065684
